25.5d 05.17 58.e9 5e.d4 ab.b2 cd.c6 9b.b4 54.11 0e.82 74.41 21.3d dc.87 70.e9 3e.a1 41.e1 fc.67 3e.01 7e.97 ea.dc 6b.96
22.56 9a.d4 18.d1 fe.e4 d9.cd 45.a3 91.c6 01.ff c9.2a d9.15 01.43 2f.ee 15.02 87.61 7c.13 62.9e 69.fc 72.81 cd.71 65.a6
3e.ab 49.cf 71.4b ce.3a 75.a7 4f.76 ea.7e 64.ff 81.eb 61.fd fe.c3 9b.67 bf.0d e9.8c 7e.4e 32.bd f9.7c 8c.6a c7.5b a4.3c
02.f4 b2.ed 72.16 ec.f3 01.4d f0.00 10.8b 67.cf 99.50 5b.17 9f.8e d4.98 0a.61 03.d1 bc.a7 0d.be 9b.bf ab.0e d5.98 01.d6
e5.f2 d6.f6 7d.3e c5.16 8e.21 2e.2d af.02 c6.b9 63.c9 8a.1f 70.97 de.0c 56.89 1a.2b 21.1b 01.07 0d.d8 fd.8b 16.c2 a1.a4
e3.cf d2.92 d2.98 4b.35 61.d5 55.d1 6c.33 dd.c2 bc.f7 ed.de 13.ef e5.20 c7.e2 ab.dd a4.4d 81.88 1c.53 1a.ee eb.66 24.4c
3b.79 1e.a8 ac.fb 6a.68 f3.58 46.06 47.2b 26.0e 0d.d2 eb.b2 1f.6c 3a.3b c0.54 2a.ab ba.4e f8.f6 c7.16 9e.73 11.08 db.04
60.22 0a.a7 4d.31 b5.5b 03.a0 0d.22 0d.47 5d.cd 9b.87 78.56 d5.70 4c.9c 86.ea 0f.98 f2.eb 9c.53 0d.a7 fa.5a d8.b0 b5.db
50.c2 fd.5d 09.5a 2a.a5 e2.a3 fb.b7 13.47 54.9a 31.63 32.23 4e.ce 76.5b 75.71 b6.4d 21.6b 28.71 2e.25 cf.37 80.f9 dc.62
9c.d7 19.b0 1e.6d 4a.4f d1.7c 73.1f 4a.e9 7b.c0 5a.31 0d.7b 9c.36 ed.ca 5b.bc 02.db b5.de 3d.52 b6.57 02.d4 c4.4c 24.95
c8.97 b5.12 80.30 d2.db 61.e0 56.fd 16.43 c8.71 ff.ca 4d.b5 a8.8a 07.5e e1.09 33.a6 55.57 3b.1d ee.f0 2f.6e 20.02 49.81
e2.a0 7f.f8 e3.47 69.e3 11.b6 98.b9 41.9f 18.22 a8.4b c8.fd a2.04 1a.90 f4.49 fe.15 4b.48 96.2d e8.15 25.cb 5c.8f ae.6d
45.46 27.86 e5.3f a9.8d 8a.71 8a.2c 75.a4 bc.6a ee.ba 7f.39 02.15 67.ea 2b.8c b6.87 1b.64 f5.61 ab.1c e7.90 5b.90 1e.e5
02.a8 11.77 4d.cd e1.3b 87.60 74.8a 76.db 74.a1 68.2a 28.83 8f.1d e4.3a 39.cc ca.94 5c.e8 79.5e 91.8a d6.de 57.b7 19.df
18.8d 69.8e 69.dd 2f.d1 08.57 54.97 75.39 d1.ae 05.9b 43.61 84.bc c0.15 47.96 f3.9e 4d.0c 7d.65 99.e6 f3.02 c4.22 d3.cc
7a.28 63.ef 61.34 9d.66 cf.e0 c7.53 9d.87 68.e4 1d.5b 82.6b 67.00 d0.01 e6.c4 03.aa e6.d7 76.60 ff.d9 4f.60 0d.ed c6.dd
cd.8d 30.6a 15.99 4e.32 f4.d1 9d.5c d1.6e 5d.b7 32.60 62.18 37.d8 79.36 b2.c8 96.bf b5.5c 9c.83 ea.cd ed.ff 66.3c 31.5a
0d.cf b6.de 3d.13 95.6f 74.f7 87.ab d0.00 e2.82 c9.78 41.7e d5.de 01.bf ab.ef be.11 2b.ef 6b.38 be.22 16.fb 35.ab 6a.a9
